artist,track,album,tags,duration_ms
Fuerza Regida,Igualito a Mi Apá,Pa Que Hablen,Corridos tumbados|mexico|corridos,166000
Keith Sweat,I Want to Love You Down,Keep It Comin',rnb|soul|slow jams,308000
Halsey,Easier than Lying,"If I Can't Have Love, I Want Power",pop|indie pop|indie,206000
Carly Rae Jepsen,Cry,E•MO•TION: Side B,pop|Canadian|female vocalists,236000
David Cook,Goodbye To The Girl,This Loud Morning,rock|alternative rock|American Idol,250000
Xscape,Keep It On The Real,Off The Hook,rnb|female vocalists|90s,263000
David Cook,Makeover,Analog Heart,rock|alternative rock|American Idol,217000
Cassadee Pope,Torn (The Voice Performance),Música Para Desconectar 3,pop rock|pop|country,208000
Lil Tjay,Leaked,Leaked - Single,rap|Hip-Hop|trap,220000
Machine Gun Kelly,concert for aliens,Tickets To My Downfall (SOLD OUT Deluxe),Hip-Hop|rap|pop punk,0
Morgan Wallen,Talkin' Tennessee,If I Know Me,country|country pop|contemporary country,221000
Lil Tjay,Move On - Bonus,,rap|Hip-Hop|trap,0
Sean Kingston,Replay,,rnb|Hip-Hop|reggae,0
Tracy Lawrence,Somebody Paints The Wall,Sticks And Stones,country|Tracy Lawrence|modern country,196000
Lil Tjay,None of Your Love - Bonus,,rap|Hip-Hop|trap,0
Jessie J,LaserLight (feat. David Guetta),Who You Are (Bonus Video Deluxe Edition),pop|british|female vocalists,210000
Jay Sean,Down (Ft. Lil Wayne),,rnb|pop|soul,0
Carly Rae Jepsen,Talking to Yourself,The Loneliest Time,pop|Canadian|female vocalists,171000
Polo G,Finer Things,Finer Things,rap|Hip-Hop|trap,182000
Surface,ゴーイング my 上へ,Surface,japanese|j-pop|J-rock,221000
Selena Gomez,Dance Again,Rare,pop|female vocalists|Disney,170000
Zach Bryan,From Austin,From Austin - Single,country|singer-songwriter|americana,207000
Niall Horan,Everywhere,Niall's Mix,pop|folk|irish,168000
Mariah Carey,Fly Like a Bird,The Emancipation of Mimi,pop|rnb|female vocalists,233000
Adam Lambert,Whatya Want From Me,Best Of 2010 - Die Zweite,pop|rock|glam,227000
Jason Derulo,Riding Solo,,rnb|pop|male vocalists,0
BLACKPINK,THE GIRLS - BLACKPINK THE GAME OST,THE GIRLS (BLACKPINK THE GAME OST),k-pop|Kpop|pop,162000
Noah Kahan,Godlight,I Was / I Am,indie|folk|singer-songwriter,247000
Zach Bryan,Fifth of May,The Greatest Day of My Life,country|singer-songwriter|americana,246000
Carly Rae Jepsen,Want You in My Room,Spotify Singles,pop|Canadian|female vocalists,166000
Fuerza Regida,UNA CERVEZA,Pa las Baby's Y Belikeada,Corridos tumbados|mexico|corridos,279000
Machine Gun Kelly,More Than Life (Feat. Glaive),More Than Life (feat. Glaive),Hip-Hop|rap|pop punk,196000
Imagine Dragons,Take Me to the Beach (feat. Ado),Take Me to the Beach (feat. Ado) - Single,indietronica|indie pop|anime,167000
Niall Horan,Heartbreak Weather,Songs For The Summer,pop|folk|irish,200000
Niall Horan,Still,Niall's Mix,pop|folk|irish,251000
Machine Gun Kelly,why are you here,why are you here,Hip-Hop|rap|pop punk,0
Kris Allen,Monster,Thank You Camellia (Deluxe Version),American Idol|singer-songwriter|pop,215000
NF,MOTTO,HOPE,Hip-Hop|rap|christian,217000
New Kids On The Block,Dirty Dancing,The Block,pop|boybands|80s,217000
Zach Bryan,Heavy Eyes,American Heartbreak,country|singer-songwriter|americana,190000
Taio Cruz,Break Your Heart (ft Ludacris),,rnb|pop|Hip-Hop,0
Kelsea Ballerini,Interlude,Rolling Up the Welcome Mat,country|pop|female vocalists,45000
Sean Kingston,Letting Go (Dutty Love) [feat. Nicki Minaj],Letting Go (Dutty Love) [feat. Nicki Minaj] - Single,rnb|Hip-Hop|reggae,230000
Billy Ray Cyrus,Somebody New,The Best Of Billy Ray Cyrus: Cover To Cover,country|rock|90s,225000
Selena Gomez,Ring,Rare,pop|female vocalists|Disney,148000
Jay Sean,2012 (It Ain't the End) [Feat. Nicki Minaj],2012 (It Ain't The End) [feat. Nicki Minaj] - Single,rnb|pop|soul,222000
Poco,Keep on Trying,Head Over Heels,country rock|classic rock|soft rock,176000
Fifth Harmony,He Like That,Fifth Harmony,pop|female vocalists|X factor,217000
Evanescence,Oceans,Evanescence,Gothic Rock|rock|female vocalists,218000
Lil Durk,Internet Sensation,Hip Hop & Rap - Våren 2021,rap|drill|Hip-Hop,125000
